,ID,Chain_length,Chain_density,fsa,Coordination_number,Standard_deviation,Phase,sasa,Gyration,Asphericity
0,1499538af491ce89bbfed0de287077ee/,18.0,4.0,0.65,1.9144554455445542,0.9892466826417633,1.0,17.427653236389162,7.060852512341079,0.03491964263521938
1,14a2b8b463e21ae1954f5a1c617847e2/,30.0,3.0,0.55,0.6835643564356437,0.5156161876201975,0.0,8.374757690429687,8.004344625872175,0.03035088094538209
2,1bb21ced4538fec0a1744ab973600ca0/,18.0,2.5,0.55,2.331881188118812,1.2614191518442808,2.0,16.677818851470946,6.897164115809,0.02166058997111471
3,1bd06d14f87674a7d263b6ea42872fb9/,18.0,4.0,0.45,1.3845544554455447,0.6524365138219806,1.0,10.055859909057617,7.446025418189838,0.030841226668732243
4,270c0867ad60b13942fa6ae00f91bf96/,24.0,3.5,0.45,0.6677227722772276,0.6863497739168208,0.0,7.572623929977418,7.894831352148179,0.027848943170427024
5,2786e7ea28a7e59e2e50ff5e580c7d3e/,21.0,4.5,0.55,1.3354455445544553,0.6088992673767798,1.0,9.740614528656003,7.643401948459688,0.03628810548772605
6,2c8bf79a2c578f2bec76c078865b4132/,18.0,3.5,0.25,0.0,0.0,0.0,4.464820713996887,7.594957384984768,0.012190232814190516
7,33c0d152f8ff745cc703b13fe4967842/,18.0,3.5,0.55,1.92,0.7401593471878114,1.0,14.501147975921633,7.194621922523668,0.03280630167767825
8,3688f57faae97574bce28b1c7ff935bd/,18.0,3.0,0.35,1.3964356435643566,0.5716738056828486,1.0,8.79455325126648,7.362546881868397,0.01953938326281055
9,3719d43c55829a655347311220b2d273/,33.0,3.5,0.65,0.7239603960396039,0.6594583869964673,0.0,9.457005825042724,8.13194183228277,0.029036403706694094
10,46d076c0ba37bdefdfa286d61e4aaa20/,18.0,3.5,0.35,1.2926732673267327,0.624865157495956,1.0,7.901100749969482,7.478442289450184,0.022113739241896455
11,4e58830be1dccdf9c2b856c589273904/,18.0,3.0,0.27,0.030099009900990098,0.0921368923965641,0.0,0.0,0.0,0.0
12,50576410dd0dfb272b45f35be32e0118/,18.0,4.5,0.35,0.020594059405940595,0.06983785329158693,0.0,5.351271114349365,7.720314253867023,0.02650084922186042
13,5a3d11f1fd9ab9924c570969af138c29/,24.0,4.0,0.55,1.1405940594059405,0.6607395903042824,1.0,9.517516117095948,7.860911892682298,0.039942643925045714
14,5e5469e3ad539a2a44caffb514c3a1b0/,24.0,3.5,0.35,0.0,0.0,0.0,5.168372049331665,8.094682177160168,0.0198842508635921
15,763756f52444966ccdc515902ae14a08/,18.0,4.5,0.55,1.6514851485148514,0.6878502218173311,1.0,11.774434337615967,7.355724918571409,0.03590971941852605
16,78cfaea4bd511bd0d0f48dbdb39b0b3a/,15.0,3.5,0.4,1.76,0.5701614250221388,1.0,12.35412525177002,7.135074359651363,0.026922836213573283
17,792c384b931ef2daa526ebda17b63e60/,27.0,4.2,0.55,0.08,0.2712931993250107,0.0,0.0,0.0,0.0
18,7b1a85b820a3f516ffaa29d15fa65bf5/,18.0,3.0,0.55,1.7996039603960394,0.8417834592200356,1.0,16.182064800262452,7.025412792599482,0.027595874531194643
19,7ca78ebf9f2907ea04f44bb7b19bc127/,30.0,3.5,0.55,0.0,0.0,0.0,7.590191030502321,8.179473223347177,0.024993352970828255
20,8276a6fd578140ddaa6b6edc6c1d674d/,21.0,3.0,0.55,1.7013861386138616,0.8055229413847549,1.0,13.660419044494631,7.260602822549609,0.02746477029554259
21,83adca02aebb6f5634d5a92548ab70be/,36.0,3.5,0.55,0.0,0.0,0.0,0.0,0.0,0.0
22,88654cf966042dfcd059a45527c3fe8b/,18.0,3.0,0.65,2.415841584158416,1.0226567751292097,2.0,19.471658515930176,6.887000499384731,0.026222248146849397
23,889309954aa3a0fc4802c5ca3dd108ed/,18.0,4.5,0.65,2.0823762376237624,1.0165061420328512,2.0,16.014229488372802,7.174314674901696,0.04110046905433528
24,8f983bb02736efd50ba4e2189f81013d/,24.0,3.5,0.65,1.6063366336633664,0.7077277587683845,1.0,14.067869720458985,7.432784223019634,0.035533041480297615
25,912249a3539a9cfda711eccf7a00a8c6/,24.0,2.5,0.45,1.0637623762376238,0.7005764847881589,1.0,8.716411848068237,7.52806529351754,0.016723715968370884
26,91a98aae5ae1683ed1c68e98549f7120/,30.0,3.5,0.65,1.2776237623762376,0.6416604281765679,1.0,10.865154571533203,7.797317475119205,0.030302308471268077
27,957f3500daae0148063869fac0acdaa7/,24.0,4.5,0.55,0.7651485148514852,0.6871117069256889,0.0,8.112486972808838,7.955398212336693,0.036573024398115016
28,96176d22c88369ef83b38796da5ec8de/,18.0,3.5,0.45,1.642772277227723,0.6713129467274396,1.0,11.545957508087158,7.3378032640877535,0.02918847862867977
29,9c45d4c50f8ad31456ca18910f85e9d6/,18.0,3.5,0.65,2.1655445544554457,1.2678604074360271,2.0,18.596856079101567,6.977158055977704,0.03257718922548511
30,acc857415e2103931235b29c4b128273/,18.0,4.5,0.45,1.5904950495049506,0.84071885626229,1.0,9.300463275909424,7.555369594870332,0.03422183727311715
31,b3bdf2d47794799d2b44c73194fcd01f/,15.0,3.5,0.2,0.0015841584158415843,0.005372142560891301,0.0,4.989984951019287,7.347048710970002,0.008283870498869937
32,c3af18291f93bbfe0972c9603ab768f2/,27.0,3.5,0.55,0.8554455445544555,0.6115895360547831,0.0,8.657559032440185,7.968157843935613,0.033662311669268044
33,c45084290ee1a7f1a761b78aca0f21c1/,18.0,4.0,0.55,1.7148514851485148,0.5263156243711657,1.0,13.111885509490968,7.301854373637346,0.03801131856424881
34,d8075c4ee1ffa9e0e871580daa35a7e5/,30.0,2.5,0.55,1.1928712871287128,0.6323694710583948,1.0,9.463428211212156,7.785317225526938,0.02979873131836178
35,d8a42042a176dbbaba9cf3822a464a89/,24.0,2.5,0.55,1.8558415841584155,0.6908199992370998,1.0,11.954459419250488,7.28283188611974,0.02231069757343995
36,da3a0b27b5418fecbc973d7d4f4142b4/,21.0,3.5,0.5,1.36,0.6103757956380593,1.0,11.297664165496824,7.483057236757505,0.028935445712208737
37,dc4a28a9e10cd1b3f8075db53b59c9d8/,24.0,4.2,0.55,1.1477227722772279,0.5485750404836722,1.0,0.0,0.0,0.0
38,ddf99f76ce3edfaa39be6b3d6eec6156/,24.0,3.5,0.55,1.2205940594059406,0.652140992223207,1.0,10.093141994476321,7.697888793229978,0.031851404476160736
39,dea8e7530829b904bb8fd49b668bbf71/,30.0,3.5,0.45,0.0,0.0,0.0,5.386846981048584,8.555114323501536,0.028111116674806896
40,e7ab55455186f19e3bc0421bda362bac/,18.0,3.0,0.45,1.8011881188118815,0.6149075722573033,1.0,12.401258945465088,7.216512103729237,0.025975649574146067
41,ef19c3b8bdcd0a4b572e3a4916cc78bb/,15.0,3.5,0.55,2.2273267326732675,0.9499316812277071,2.0,16.43461996078491,6.93996051129198,0.03051916428250096
42,f8a73f08831ea12384e905c765027a9c/,15.0,3.5,0.3,1.367128712871287,0.7073599938960439,1.0,8.42853949546814,7.239025193043447,0.01627307625644593
43,ff4381f015c78de7e08c53c11acb5330/,18.0,4.0,0.35,0.6091089108910892,0.6522287729903056,0.0,6.905244932174683,7.625501735630005,0.023962383923829704
